service_id,date,exception_type
20101L0113_201001,20260427,1
20101L0113_201001,20260428,1
20101L0113_201001,20260429,1
20101L0113_201001,20260430,1
20101L0113_201001,20260501,1
20102L0120_201002,20260427,1
20102L0120_201002,20260428,1
20102L0120_201002,20260429,1
20102L0120_201002,20260430,1
20102L0120_201002,20260501,1
20103L0113_201003,20260427,1
20103L0113_201003,20260428,1
20103L0113_201003,20260429,1
20103L0113_201003,20260430,1
20103L0113_201003,20260501,1
20104L0114_201004,20260427,1
20104L0114_201004,20260428,1
20104L0114_201004,20260429,1
20104L0114_201004,20260430,1
20104L0114_201004,20260501,1
20105L0114_201005,20260427,1
20105L0114_201005,20260428,1
20105L0114_201005,20260429,1
20105L0114_201005,20260430,1
20105L0114_201005,20260501,1
20201L0115_202001,20260427,1
20201L0115_202001,20260428,1
20201L0115_202001,20260429,1
20201L0115_202001,20260430,1
20201L0115_202001,20260501,1
20202L0110_202002,20260427,1
20202L0110_202002,20260428,1
20202L0110_202002,20260429,1
20202L0110_202002,20260430,1
20202L0110_202002,20260501,1
20203L0115_202003,20260427,1
20203L0115_202003,20260428,1
20203L0115_202003,20260429,1
20203L0115_202003,20260430,1
20203L0115_202003,20260501,1
20204L0116_202004,20260427,1
20204L0116_202004,20260428,1
20204L0116_202004,20260429,1
20204L0116_202004,20260430,1
20204L0116_202004,20260501,1
20205L0113_202005,20260427,1
20205L0113_202005,20260428,1
20205L0113_202005,20260429,1
20205L0113_202005,20260430,1
20205L0113_202005,20260501,1
A  01FP001_008001,20260501,1
A  01FP001_008001,20260503,1
A  01LP001_008001,20260427,1
A  01LP001_008001,20260428,1
A  01LP001_008001,20260429,1
A  01LP001_008001,20260430,1
A  01LP001_008001,20260501,1
A  01SP001_008001,20260502,1
A  02FP000_008002,20260501,1
A  02FP000_008002,20260503,1
A  02LP000_008002,20260427,1
A  02LP000_008002,20260428,1
A  02LP000_008002,20260429,1
A  02LP000_008002,20260430,1
A  02LP000_008002,20260501,1
A  02SP000_008002,20260502,1
A  03FP000_008003,20260501,1
A  03FP000_008003,20260503,1
A  03LP000_008003,20260427,1
A  03LP000_008003,20260428,1
A  03LP000_008003,20260429,1
A  03LP000_008003,20260430,1
A  03LP000_008003,20260501,1
A  03SP001_008003,20260502,1
A  04LP001_008004,20260427,1
A  04LP001_008004,20260428,1
A  04LP001_008004,20260429,1
A  04LP001_008004,20260430,1
A  04LP001_008004,20260501,1
A  04SP000_008004,20260502,1
C1 01FPV00_001001,20260501,1
C1 01FPV00_001001,20260503,1
C1 01LPV00_001001,20260427,1
C1 01LPV00_001001,20260428,1
C1 01LPV00_001001,20260429,1
C1 01LPV00_001001,20260430,1
C1 01LPV00_001001,20260501,1
C1 01SP101_001001,20260502,1
C1 02FPV00_001002,20260501,1
C1 02FPV00_001002,20260503,1
C1 02LP100_001002,20260427,1
C1 02LP100_001002,20260428,1
C1 02LP100_001002,20260429,1
C1 02LP100_001002,20260430,1
C1 02LP100_001002,20260501,1
C1 02SP101_001002,20260502,1
C1 03LP200_001003,20260427,1
C1 03LP200_001003,20260428,1
C1 03LP200_001003,20260429,1
C1 03LP200_001003,20260430,1
C1 03LP200_001003,20260501,1
C1 03SP100_001003,20260502,1
C1 04LPV00_001004,20260427,1
C1 04LPV00_001004,20260428,1
C1 04LPV00_001004,20260429,1
C1 04LPV00_001004,20260430,1
C1 04LPV00_001004,20260501,1
C3 01FP102_003001,20260501,1
C3 01FP102_003001,20260503,1
C3 01LP101_003001,20260427,1
C3 01LP101_003001,20260428,1
C3 01LP101_003001,20260429,1
C3 01LP101_003001,20260430,1
C3 01LP101_003001,20260501,1
C3 01SP102_003001,20260502,1
C3 02FP101_003002,20260501,1
C3 02FP101_003002,20260503,1
C3 02LP101_003002,20260427,1
C3 02LP101_003002,20260428,1
C3 02LP101_003002,20260429,1
C3 02LP101_003002,20260430,1
C3 02LP101_003002,20260501,1
C3 02SP103_003002,20260502,1
C3 03FP101_003003,20260501,1
C3 03FP101_003003,20260503,1
C3 03LP101_003003,20260427,1
C3 03LP101_003003,20260428,1
C3 03LP101_003003,20260429,1
C3 03LP101_003003,20260430,1
C3 03LP101_003003,20260501,1
C3 03SP101_003003,20260502,1
C3 04LP102_003004,20260427,1
C3 04LP102_003004,20260428,1
C3 04LP102_003004,20260429,1
C3 04LP102_003004,20260430,1
C3 04LP102_003004,20260501,1
C3 05LP101_003005,20260427,1
C3 05LP101_003005,20260428,1
C3 05LP101_003005,20260429,1
C3 05LP101_003005,20260430,1
C3 05LP101_003005,20260501,1
C3 06LP101_003006,20260427,1
